Id,Time[ns],1:UART: RX/TX
1087,8604269280.00,4
1088,8604280120.00,5
1089,8604291000.00,F
1090,8604301840.00,7
1091,8604312680.00,4
1092,8604323520.00,6
1093,8604334360.00,5
1094,8604345240.00,7
1095,8604356080.00,3
1096,8604366920.00,7
1097,8604377760.00,4
1098,8604388600.00,4
1099,8604399480.00,0
1100,8604410320.00,4
1101,8604421160.00,0
1102,8604432000.00,4
1103,8604442840.00,0
1104,8604453720.00,3
1105,8604464560.00,3
1106,8604475400.00,3
1107,8604486240.00,4
1108,8604497080.00,5
1109,8604507960.00,F
1110,8604518800.00,3
1111,8604529640.00,9
1112,8604540480.00,3
1113,8604551320.00,9
1114,8604562200.00,5
1115,8604573040.00,F
1116,8604583880.00,3
1117,8604594720.00,0
1118,8604605560.00,3
1119,8604616440.00,0
1120,8604627280.00,5
1121,8604638120.00,F
1122,8604648960.00,3
1123,8604659800.00,1
1124,8604670680.00,3
1125,8604681520.00,3
1126,8604692360.00,5
1127,8604703200.00,F
1128,8604714040.00,3
1129,8604724920.00,3
1130,8604735760.00,3
1131,8604746600.00,5
1132,8604757440.00,5
1133,8604768280.00,F
1134,8604779160.00,3
1135,8604790000.00,8
1136,8604800840.00,3
1137,8604811680.00,7
1138,8604822520.00,4
1139,8604833400.00,0
1140,8604844240.00,4
1141,8604855080.00,0
1142,8604865920.00,4
1143,8604876760.00,0
1144,8604887640.00,3
1145,8604898480.00,1
1146,8604909320.00,3
1147,8604920160.00,2
1148,8604931000.00,3
1149,8604941880.00,3
1150,8604952720.00,3
1151,8604963560.00,4
1152,8604974400.00,3
1153,8604985240.00,5
1154,8604996120.00,3
1155,8605006960.00,6
1156,8605017800.00,3
1157,8605028640.00,7
1158,8605039480.00,3
1159,8605050360.00,8
1160,8605061200.00,2
1161,8605072040.00,D
1162,8605082880.00,6
1163,8605093720.00,5
1164,8605104600.00,6
1165,8605115440.00,6
1166,8605126280.00,6
1167,8605137120.00,1
1168,8605147960.00,6
1169,8605158840.00,4
1170,8605169680.00,2
1171,8605180520.00,D
1172,8605191360.00,6
1173,8605202200.00,1
1174,8605213080.00,6
1175,8605223920.00,4
1176,8605234760.00,6
1177,8605245600.00,2
1178,8605256440.00,6
1179,8605267320.00,3
1180,8605278160.00,2
1181,8605289000.00,D
1182,8605299840.00,6
1183,8605310680.00,3
1184,8605321560.00,6
1185,8605332400.00,2
1186,8605343240.00,6
1187,8605354080.00,1
1188,8605364920.00,6
1189,8605375800.00,4
1190,8605386640.00,2
1191,8605397480.00,D
1192,8605408320.00,3
1193,8605419160.00,1
1194,8605430040.00,3
1195,8605440880.00,2
1196,8605451720.00,3
1197,8605462560.00,3
1198,8605473400.00,3
1199,8605484280.00,4
